,chrom,start,stop,ALL_sum_x,ALL_signal_x,peak_size_x,ALL_sum_norm_x,Sample_sum_x,AML_signal_x,AML_sum_norm_x,Difference_x,Feature,Peak_type,gene_279,gene_NC,ALL_sum_y,ALL_signal_y,peak_size_y,ALL_sum_norm_y,Sample_sum_y,AML_signal_y,AML_sum_norm_y,Difference_y,gene
0,chr1,12337273,12347527,7737,4959.561820549694,10254,1.4835734172566504,0,1.0,1.0,0.4835734172566504,chr1:12337273-12347527,ALL_specific,VPS13D,,7737,4959.561820549694,10254,1.4835734172566504,0,1.0,1.0,0.4835734172566504,VPS13D
1,chr1,12375611,12382513,84,54.83471538402149,6902,1.007799871831936,5455,3236.0570964715666,1.468712995721757,-0.460913123889821,chr1:12375611-12382513,Oncoprotein_Target,,,84,54.83471538402149,6902,1.007799871831936,5455,3236.0570964715666,1.468712995721757,-0.460913123889821,VPS13D
2,chr1,12432973,12437401,7484,4797.416784928772,4428,2.0832016226126404,3638,2158.4954568219173,1.487239263058247,0.5959623595543935,chr1:12432973-12437401,Oncoprotein_Target,,,7484,4797.416784928772,4428,2.0832016226126404,3638,2158.4954568219173,1.487239263058247,0.5959623595543935,VPS13D
3,chr1,12470612,12482527,26255,16827.553004851005,11915,2.412215946693328,0,1.0,1.0,1.412215946693328,chr1:12470612-12482527,ALL_specific,VPS13D,,26255,16827.553004851005,11915,2.412215946693328,0,1.0,1.0,1.412215946693328,VPS13D
4,chr1,12612876,12621934,44493,28516.09513787224,9058,4.148056429440521,4448,2638.861405152251,1.2912189672281134,2.8568374622124075,chr1:12612876-12621934,Oncoprotein_Target,,,44493,28516.09513787224,9058,4.148056429440521,4448,2638.861405152251,1.2912189672281134,2.8568374622124075,DHRS3
5,chr1,13744106,13760821,31399,20124.288432653462,16715,2.203905978621206,13000,7710.576948511524,1.4612370295250687,0.7426689490961373,chr1:13744106-13760821,Oncoprotein_Target,,,31399,20124.288432653462,16715,2.203905978621206,13000,7710.576948511524,1.4612370295250687,0.7426689490961373,PRDM2
6,chr1,15880318,15888169,8268,5299.874128512973,7851,1.674929834226592,12938,7673.808196910931,1.977303298549348,-0.302373464322756,chr1:15880318-15888169,Oncoprotein_Target,,,8268,5299.874128512973,7851,1.674929834226592,12938,7673.808196910931,1.977303298549348,-0.302373464322756,SPEN
7,chr1,22050821,22063166,49865,31958.953364574187,12345,3.5887366030436767,23384,13868.749797230268,2.123349517799131,1.4653870852445459,chr1:22050821-22063166,Oncoprotein_Target,,,49865,31958.953364574187,12345,3.5887366030436767,23384,13868.749797230268,2.123349517799131,1.4653870852445459,CDC42
8,chr1,28415083,28419733,10051,6442.580051485715,4650,2.3852860325775733,0,1.0,1.0,1.3852860325775733,chr1:28415083-28419733,Oncoprotein_Target,,,10051,6442.580051485715,4650,2.3852860325775733,0,1.0,1.0,1.3852860325775733,PHACTR4
9,chr1,31910669,31949208,35400,22688.48719755192,38539,1.5886890473948965,27500,16309.720468005147,1.4231744588080943,0.16551458858680212,chr1:31910669-31949208,Oncoprotein_Target,,,35400,22688.48719755192,38539,1.5886890473948965,27500,16309.720468005147,1.4231744588080943,0.16551458858680212,PTP4A2
